JANELA,MONEYNESS_ALVO,STOP_CALIBRADO,CENARIO,DIAS,DTE_D0,DTE_RESTANTE,RETORNO_SPOT,N_CONTRATOS,CUSTO_OPCAO,PNL_OPCAO,PNL_SPOT,RET_OPCAO,RET_SPOT,VANTAGEM
Jan→Abr (alta gradual),0.02,0.1,I,60.0,106.96,45.96,0.050622957966881155,0.8639719318218989,13266.289013125259,2959.103866490004,5062.295796688116,0.029591038664900038,0.050622957966881155,-0.02103191930198112
Jan→Abr (alta gradual),0.02,0.1,II,60.0,106.96,45.96,0.050622957966881155,0.8639719318218989,13266.289013125259,9806.528624659859,5062.295796688116,0.09806528624659859,0.050622957966881155,0.04744232827971743
Jan→Abr (alta gradual),0.02,0.1,III,60.0,106.96,45.96,0.050622957966881155,0.8639719318218989,13266.289013125259,9847.15628040388,5062.295796688116,0.0984715628040388,0.050622957966881155,0.047848604837157645
Jan→Abr (alta gradual),0.02,0.1,I,75.0,106.96,32.0,0.025530766416064846,0.8639719318218989,13266.289013125259,-3080.05993694507,2553.0766416064844,-0.0308005993694507,0.025530766416064846,-0.05633136578551554
Jan→Abr (alta gradual),0.02,0.1,II,75.0,106.96,32.0,0.025530766416064846,0.8639719318218989,13266.289013125259,4547.150944190424,2553.0766416064844,0.045471509441904236,0.025530766416064846,0.019940743025839393
Jan→Abr (alta gradual),0.02,0.1,III,75.0,106.96,32.0,0.025530766416064846,0.8639719318218989,13266.289013125259,4557.484610475089,2553.0766416064844,0.045574846104750884,0.025530766416064846,0.02004407968868604
Jan→Abr (alta gradual),0.02,0.1,I,90.0,106.96,17.0,0.0642966323159607,0.8639719318218989,13266.289013125259,2941.8244278535644,6429.66323159607,0.029418244278535646,0.0642966323159607,-0.03487838803742505
Jan→Abr (alta gradual),0.02,0.1,II,90.0,106.96,17.0,0.0642966323159607,0.8639719318218989,13266.289013125259,13002.369013343025,6429.66323159607,0.13002369013343024,0.0642966323159607,0.06572705781746956
Jan→Abr (alta gradual),0.02,0.1,III,90.0,106.96,17.0,0.0642966323159607,0.8639719318218989,13266.289013125259,13067.908521907551,6429.66323159607,0.1306790852190755,0.0642966323159607,0.06638245290311481
Jan→Abr (alta gradual),0.02,0.15,I,0.0,106.96,106.96,0.0,1.2541290520076391,19257.1515935773,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.02,0.15,II,0.0,106.96,106.96,0.0,1.2541290520076391,19257.1515935773,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.02,0.15,III,0.0,106.96,106.96,0.0,1.2541290520076391,19257.1515935773,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.02,0.15,I,15.0,106.96,91.96,0.011877853007351964,1.2541290520076391,19257.1515935773,-482.83968502294397,1187.7853007351964,-0.004828396850229439,0.011877853007351964,-0.016706249857581405
Jan→Abr (alta gradual),0.02,0.15,II,15.0,106.96,91.96,0.011877853007351964,1.2541290520076391,19257.1515935773,2924.3672447170693,1187.7853007351964,0.029243672447170695,0.011877853007351964,0.017365819439818728
